iteration,pid,true_energy_init,reco_calo_ke
0,1,1475.2145492487448,1069.179452183735
2,1,352.5407963347955,275.03904779273347
4,0,933.224320411682,704.3220244258284
4,0,452.8908719471419,389.3002429640437
5,0,207.37363032364073,160.60169633612577
5,0,724.1454197754296,539.67090284968
6,0,512.2749805450438,405.9179834572666
6,0,437.40713596343994,372.48421174934117
8,0,383.84348154067993,322.9595138365964
9,0,377.85363197326666,300.00106627682607
11,0,302.1484613418579,275.08361081042926
11,0,946.8914866447449,731.4181040568525
11,0,574.5044946670532,525.3882718373494
11,1,1548.7787806444662,1320.3442676957832
11,0,658.0053633479679,513.5376711925828
11,0,234.64680667162702,170.75493134647968
14,0,89.73979949951172,50.981039024261115
15,0,22.79156446456909,203.3024064029556
15,0,176.12558603286743,203.3024064029556
16,0,882.0901674948633,574.9528632106552
17,0,705.6687474250793,525.1298651637802
18,0,165.9762263298035,116.12638910132719
18,0,624.0265369415283,473.5115510871612
18,0,623.2752203941344,482.7861004565136
19,0,60.08795720813113,52.39231155579349
20,0,470.3636169433594,297.5671975009413
20,1,2763.2154309206508,2156.682981927711
20,0,71.12894145351282,30.923388377729673
20,0,55.48154194595925,34.836633521390254
21,1,2762.4713861399196,2128.8556570030123
21,0,206.28583431243896,86.93734594138273
22,0,877.8400421142578,715.9625317676959
23,0,276.1232852935791,192.75446512612953
23,0,1079.4882509137703,800.7051398955197
23,0,30.507618960001054,19.1450831401779
24,1,2113.562055771877,1694.5227197853917
25,0,576.2871503829956,472.48531479433365
26,0,75.87162720268371,54.69864075442395
26,0,146.12326180018667,108.60418296722045
27,0,704.9614787101746,553.3775973032757
28,0,724.8587012290955,558.2037868269955
28,1,386.0619151049157,259.1671863234187
30,0,194.80988351430165,150.80456101750755
30,0,31.73806961988781,26.168377428169713
31,0,188.49923289975777,148.40087890625
31,0,926.9349053958252,707.6701336596386
32,1,2609.1806375437277,2143.8623635165663
32,0,786.96471452713,536.9956878294428
33,0,226.74936469009216,138.75125747129144
34,0,915.3077697919658,810.7761612857681
34,0,538.4177330753243,527.6285562170558
34,0,66.86277279124967,50.1049317509295
35,0,433.68834257125854,328.58982315982684
