iter,epoch,first_entry,cpu_mem,cpu_mem_perc,gpu_mem,gpu_mem_perc,iteration_time,iteration_time_cpu,iteration_time_sum,iteration_time_sum_cpu,load_time,load_time_cpu,load_time_sum,load_time_sum_cpu,model_time,model_time_cpu,model_time_sum,model_time_sum_cpu,model_forward_time,model_forward_time_cpu,model_forward_time_sum,model_forward_time_sum_cpu,loss,accuracy,accuracy_class_0,accuracy_class_1,accuracy_class_2,accuracy_class_3,accuracy_class_4
0,0.005681818181818182,0,80.06776832,8.7,1.587838464,3.75385862542588,0.3720822334289551,0.2035646799999995,357.1732723712921,342.29813630599983,0.21155071258544922,0.043971655000007104,31.45653510093689,20.203061302000496,0.16039156913757324,0.1594596749999937,325.6007730960846,321.9508902769999,0.1603255271911621,0.15939754499999026,325.50454354286194,321.86363795700055,0.036537375301122665,0.9879542984072971,0.99120337,0.99697435,0.93862754,0.8967937,0.9507505
1,0.011363636363636364,128,80.19505152,8.7,1.587838464,3.75385862542588,0.1530458927154541,0.15233423199998697,357.32631826400757,342.4504705379998,0.00018095970153808594,0.00020632000001796769,31.456716060638428,20.203267622000514,0.15282964706420898,0.15209375199998476,325.7536027431488,322.1029840289999,0.15278911590576172,0.1520576320000373,325.6573326587677,322.0156955890006,0.035596877336502075,0.9883376761365074,0.99265736,0.9976024,0.9358279,0.8991062,0.9514505
2,0.017045454545454544,256,80.23216128,8.7,1.587838464,3.75385862542588,0.17795991897583008,0.17381559899996546,357.5042781829834,342.6242861369998,0.01501607894897461,0.011758545000020604,31.471732139587402,20.215026167000534,0.1628706455230713,0.16198894400002928,325.9164733886719,322.26497297299994,0.16281795501708984,0.161940254000001,325.8201506137848,322.1776358430006,0.03880748152732849,0.9877730781127488,0.9925656,0.99746615,0.9290027,0.8985801,0.9501181
3,0.022727272727272728,384,80.254459904,8.8,1.587838464,3.75385862542588,0.16092538833618164,0.15674367600001915,357.6652035713196,342.7810298129998,0.010847330093383789,0.007397684000011395,31.482579469680786,20.222423851000546,0.15001583099365234,0.1492884919999824,326.0664892196655,322.4142614649999,0.14997053146362305,0.14924734200002376,325.9701211452484,322.3268831850006,0.034141361713409424,0.9883660525759613,0.9934428,0.9967976,0.97194046,0.8933673,0.9520268
4,0.028409090909090908,512,80.241668096,8.8,1.587838464,3.75385862542588,0.17959332466125488,0.17233967800001437,357.84479689598083,342.9533694909998,0.023519039154052734,0.01702610500001356,31.50609850883484,20.23944995600056,0.15600800514221191,0.15525142300003836,326.22249722480774,322.56951288799996,0.1559615135192871,0.15520921300003465,326.1260826587677,322.48209239800065,0.03621098771691322,0.9882373894886827,0.99148464,0.99745154,0.93716127,0.9020979,0.9527223
5,0.03409090909090909,640,80.305647616,8.8,1.587838464,3.75385862542588,0.14499258995056152,0.1442787400000043,357.9897894859314,343.0976482309998,0.0001327991485595703,0.00011151000001063949,31.5062313079834,20.23956146600057,0.14482736587524414,0.14408995000002278,326.367324590683,322.713602838,0.14478540420532227,0.14405161999997063,326.270868062973,322.6261440180006,0.03194192796945572,0.9887186637897356,0.99262553,0.9979435,0.9718414,0.9035655,0.9480069
6,0.03977272727272727,768,80.347496448,8.8,1.587838464,3.75385862542588,0.16416025161743164,0.16036346500004584,358.1539497375488,343.25801169599987,0.01335453987121582,0.010204902999987553,31.519585847854614,20.249766369000557,0.15074372291564941,0.15009762199997567,326.51806831359863,322.86370045999996,0.15069842338562012,0.1500568019999946,326.42156648635864,322.7762008200006,0.03738350421190262,0.9880357174183815,0.9933307,0.99727744,0.93632627,0.8859165,0.9474039
7,0.045454545454545456,896,80.352653312,8.8,1.587838464,3.75385862542588,0.1667015552520752,0.16236566500003846,358.3206512928009,343.4203773609999,0.011821269989013672,0.008232832999965467,31.531407117843628,20.257999202000523,0.15481901168823242,0.1540758219999816,326.67288732528687,323.01777628199994,0.15477514266967773,0.15403541200004156,326.5763416290283,322.93023623200065,0.033712856471538544,0.9883291475845768,0.99277353,0.9968264,0.97020704,0.88400704,0.95069367
8,0.05113636363636364,1024,80.315359232,8.8,1.587838464,3.75385862542588,0.1790323257446289,0.17176606099997116,358.49968361854553,343.5921434219999,0.023884296417236328,0.017420097000012902,31.555291414260864,20.275419299000536,0.155076265335083,0.15427855400002954,326.82796359062195,323.172054836,0.15502619743347168,0.15423318400002017,326.7313678264618,323.0844694160007,0.033923957496881485,0.988724138456382,0.9926241,0.99794686,0.94496083,0.88736725,0.9522506
9,0.056818181818181816,1152,80.369795072,8.8,1.587838464,3.75385862542588,0.15326595306396484,0.15256740299997773,358.6529495716095,343.74471082499986,0.00013256072998046875,9.979999998677158e-05,31.555423974990845,20.275519099000523,0.15310001373291016,0.1523789729999976,326.98106360435486,323.32443380899997,0.15305638313293457,0.1523394629999757,326.8844242095947,323.23680887900065,0.03416011855006218,0.9887092480798338,0.9929532,0.99763757,0.9753145,0.89808434,0.95237684
10,0.0625,1280,80.359849984,8.8,1.587838464,3.75385862542588,0.16209840774536133,0.15822975399998995,358.81504797935486,343.90294057899985,0.01331949234008789,0.010169212999983301,31.568743467330933,20.285688312000506,0.14871692657470703,0.14800275099997862,327.12978053092957,323.47243655999995,0.14867305755615234,0.1479624809999791,327.0330972671509,323.3847713600006,0.040037427097558975,0.9872477973199495,0.9917843,0.9970316,0.8892135,0.88402563,0.950615
11,0.06818181818181818,1408,80.366395392,8.8,1.587838464,3.75385862542588,0.17316603660583496,0.1690029979999963,358.9882140159607,344.07194357699984,0.012487649917602539,0.009151672999962557,31.581231117248535,20.29483998500047,0.1606132984161377,0.15979038500000797,327.2903938293457,323.63222694499996,0.16056489944458008,0.15974616500000138,327.19366216659546,323.54451752500063,0.03585771843791008,0.9880913116140575,0.9923347,0.9974769,0.9481522,0.88590604,0.9529485
12,0.07386363636363637,1536,80.33216512,8.8,1.587838464,3.75385862542588,0.1750774383544922,0.16817733799996404,359.1632914543152,344.2401209149998,0.022666215896606445,0.01654779599999756,31.60389733314514,20.311387781000466,0.1523447036743164,0.15156700199997886,327.44273853302,323.78379394699994,0.1522977352142334,0.15152143199998136,327.3459599018097,323.6960389570006,0.03753545880317688,0.9877968824755908,0.99439996,0.99700916,0.9294674,0.89139193,0.9491088
13,0.07954545454545454,1664,80.387846144,8.8,1.587838464,3.75385862542588,0.14203524589538574,0.14141214900001842,359.30532670021057,344.3815330639998,0.0001087188720703125,0.00011675000001787339,31.604006052017212,20.311504531000484,0.1418905258178711,0.141258219000008,327.5846290588379,323.92505216599994,0.1418476104736328,0.1412190290000126,327.4878075122833,323.8372579860006,0.03354532644152641,0.9888737427697749,0.99286574,0.9977263,0.9533186,0.8799368,0.95471245
14,0.08522727272727272,1792,80.399151104,8.8,1.587838464,3.75385862542588,0.16536235809326172,0.16136632500001724,359.47068905830383,344.54289938899984,0.013841629028320312,0.010608724000007896,31.617847681045532,20.32211325500049,0.1514582633972168,0.1506995109999707,327.7360873222351,324.0757516769999,0.1514127254486084,0.15065792099994724,327.63922023773193,323.98791590700057,0.03259531036019325,0.9891976554242337,0.99358314,0.9978956,0.96460366,0.90590465,0.94989866
15,0.09090909090909091,1920,80.40116224,8.8,1.587838464,3.75385862542588,0.1603870391845703,0.1567001529999743,359.6310760974884,344.6995995419998,0.010350704193115234,0.007324322000044958,31.628198385238647,20.329437577000537,0.14997339248657227,0.14931699099997786,327.8860607147217,324.2250686679999,0.14992642402648926,0.14927368100001104,327.7891466617584,324.1371895880006,0.03648737072944641,0.987950343948791,0.9951497,0.9968516,0.9581619,0.88179284,0.9490005
16,0.09659090909090909,2048,80.353214464,8.8,1.587838464,3.75385862542588,0.17879486083984375,0.17146758800004136,359.80987095832825,344.87106712999986,0.023974895477294922,0.017395254999996723,31.652173280715942,20.346832832000533,0.15475082397460938,0.15400665300001037,328.0408115386963,324.3790753209999,0.15470504760742188,0.15396505300003582,327.94385170936584,324.2911546410006,0.04322664812207222,0.9872448689844735,0.9930832,0.997126,0.911128,0.8834743,0.94747967
17,0.10227272727272728,2176,80.41691136,8.8,1.587838464,3.75385862542588,0.1492137908935547,0.1485648200000469,359.9590847492218,345.0196319499999,9.822845458984375e-05,0.0001101799999787545,31.652271509170532,20.346943012000512,0.14908242225646973,0.148420729999998,328.18989396095276,324.5274960509999,0.14904141426086426,0.14838343999997505,328.0928931236267,324.4395380810006,0.03604520484805107,0.988105093800278,0.9924032,0.997539,0.9568458,0.8695122,0.9484878
18,0.10795454545454546,2304,80.428445696,8.8,1.587838464,3.75385862542588,0.16425466537475586,0.1603183660000127,360.12333941459656,345.1799503159999,0.013686180114746094,0.010434744000008322,31.66595768928528,20.35737775600052,0.15050196647644043,0.14982128200000489,328.3403959274292,324.6773173329999,0.15044713020324707,0.14977567199997566,328.24334025382996,324.58931375300057,0.03710760176181793,0.9877405911418141,0.993116,0.9975542,0.9550749,0.8487408,0.94912225
19,0.11363636363636363,2432,80.4610048,8.8,1.587838464,3.75385862542588,0.17185759544372559,0.16767506700000467,360.2951970100403,345.3476253829999,0.012540817260742188,0.009112561999984337,31.67849850654602,20.366490318000505,0.1592562198638916,0.15850623500000438,328.4996521472931,324.8358235679999,0.1592121124267578,0.15846565500004317,328.4025523662567,324.7477794080006,0.034346289932727814,0.9884383207207608,0.9944775,0.9970732,0.9667768,0.8841784,0.9523388
20,0.11931818181818182,2560,80.166817792,8.7,1.587838464,3.75385862542588,0.17953968048095703,0.17209069000000454,360.47473669052124,345.5197160729999,0.024263620376586914,0.01758143699998982,31.702762126922607,20.384071755000495,0.1552104949951172,0.15444702300004565,328.6548626422882,324.99027059099996,0.15516233444213867,0.15440336300002855,328.55771470069885,324.90218277100064,0.03492838144302368,0.988618887079056,0.9920588,0.9978964,0.9546458,0.8941718,0.94957554
21,0.125,2688,80.243085312,8.8,1.587838464,3.75385862542588,0.14812254905700684,0.14743633099999442,360.62285923957825,345.6671524039999,0.00013184547424316406,0.00010139999994862592,31.70289397239685,20.384173155000443,0.14795732498168945,0.14724898099996153,328.8028199672699,325.1375195719999,0.14791440963745117,0.14721015099996748,328.7056291103363,325.0493929220006,0.03800470754504204,0.9874980056295415,0.9936808,0.9972762,0.9345756,0.88406026,0.9485288
22,0.13068181818181818,2816,80.234061824,8.7,1.587838464,3.75385862542588,0.16957592964172363,0.16552416700000094,360.79243516921997,345.8326765709999,0.014165163040161133,0.010888265000005504,31.71705913543701,20.39506142000045,0.15534663200378418,0.1545763020000095,328.9581665992737,325.2920958739999,0.1553037166595459,0.15453699199997573,328.86093282699585,325.2039299140006,0.033217594027519226,0.9887797181209077,0.99272555,0.99769026,0.9562193,0.8993157,0.9511578
23,0.13636363636363635,2944,80.217739264,8.7,1.587838464,3.75385862542588,0.1649627685546875,0.16088070600000037,360.95739793777466,345.9935572769999,0.011093854904174805,0.007901722999974936,31.728152990341187,20.402963143000424,0.15380501747131348,0.1529195929999787,329.111971616745,325.4450154669999,0.15375876426696777,0.1528774430000226,329.0146915912628,325.3568073570006,0.03342731297016144,0.9886716061996412,0.9921116,0.9977773,0.970082,0.8943914,0.95019424
24,0.14204545454545456,3072,80.198782976,8.7,1.587838464,3.75385862542588,0.17655420303344727,0.16919393000000582,361.1339521408081,346.1627512069999,0.02353358268737793,0.016995876999999382,31.751686573028564,20.419959020000423,0.1529524326324463,0.15213381299997764,329.26492404937744,325.5971492799999,0.15290379524230957,0.1520886729999802,329.1675953865051,325.5088960300006,0.03365630283951759,0.9886549335215546,0.9938472,0.99746877,0.9634321,0.88227093,0.9516329
25,0.14772727272727273,3200,80.23209984,8.7,1.587838464,3.75385862542588,0.14966988563537598,0.14899331100002655,361.2836220264435,346.31174451799995,0.00013303756713867188,0.00010039000000006126,31.751819610595703,20.420059410000423,0.1495039463043213,0.14880623100003731,329.41442799568176,325.7459555109999,0.14946413040161133,0.14877035099999603,329.31705951690674,325.6576663810006,0.03657092526555061,0.98770963072083,0.99207854,0.9971109,0.9468153,0.8932624,0.94764805
26,0.1534090909090909,3328,80.243314688,8.8,1.587838464,3.75385862542588,0.17629718780517578,0.17202860999998393,361.45991921424866,346.48377312799994,0.015485525131225586,0.012005185000020901,31.76730513572693,20.432064595000444,0.16074609756469727,0.15996241499999542,329.57517409324646,325.9059179259999,0.16069984436035156,0.15992047500003537,329.4777593612671,325.8175868560006,0.03313937783241272,0.9887409086277994,0.99317586,0.99733007,0.9646873,0.8842568,0.9511029
27,0.1590909090909091,3456,80.240398336,8.8,1.587838464,3.75385862542588,0.16958832740783691,0.16546804799997972,361.6295075416565,346.6492411759999,0.01125335693359375,0.007926682999993773,31.778558492660522,20.439991278000438,0.15827107429504395,0.15748173500003304,329.7334451675415,326.06339966099995,0.15822267532348633,0.15743783499999608,329.6359820365906,325.9750246910006,0.03232589364051819,0.9890303373657258,0.99274784,0.997341,0.95111936,0.90172416,0.94999516
28,0.16477272727272727,3584,80.196358144,8.7,1.587838464,3.75385862542588,0.1810283660888672,0.17330971999996336,361.81053590774536,346.8225508959999,0.0244290828704834,0.01748165600002949,31.802987575531006,20.457472934000467,0.15653300285339355,0.15576609400000052,329.8899781703949,326.21916575499995,0.15648555755615234,0.1557223939999517,329.79246759414673,326.13074708500056,0.034544315189123154,0.9886912390229866,0.99173236,0.99782073,0.9575024,0.9051845,0.9499237
29,0.17045454545454544,3712,80.252813312,8.8,1.587838464,3.75385862542588,0.1500234603881836,0.14930702099997006,361.96055936813354,346.97185791699985,0.00013399124145507812,0.0001109500000211483,31.80312156677246,20.45758388400049,0.1498560905456543,0.14911862100001372,330.03983426094055,326.36828437599996,0.14981412887573242,0.1490804509999748,329.94228172302246,326.27982753600054,0.033546749502420425,0.9888801434171416,0.99296975,0.9975826,0.9681897,0.8961693,0.95108616
30,0.17613636363636365,3840,80.2496512,8.8,1.587838464,3.75385862542588,0.16733932495117188,0.16318098699997563,362.1278986930847,347.1350389039998,0.015236139297485352,0.011830406000001403,31.818357706069946,20.46941429000049,0.15204334259033203,0.15129511099996762,330.1918776035309,326.51957948699993,0.15199756622314453,0.15125338099994678,330.0942792892456,326.4310809170005,0.03819916397333145,0.9875881555761161,0.99169654,0.99639815,0.96600187,0.88836247,0.94994694
31,0.18181818181818182,3968,80.253636608,8.8,1.587838464,3.75385862542588,0.1647782325744629,0.16090394700000843,362.2926769256592,347.29594285099984,0.010966062545776367,0.0077927229999659176,31.829323768615723,20.477207013000456,0.1537466049194336,0.15305072399996789,330.3456242084503,326.6726302109999,0.153700590133667,0.15300901399996292,330.2479798793793,326.58408993100045,0.034916505217552185,0.9882296086523685,0.99343693,0.9976985,0.9535049,0.8948746,0.94904065
32,0.1875,4096,80.226942976,8.7,1.587838464,3.75385862542588,0.1819465160369873,0.17431813799998963,362.47462344169617,347.4702609889998,0.024474620819091797,0.017680745000006937,31.853798389434814,20.494887758000463,0.15740633010864258,0.15657533299997795,330.50303053855896,326.8292055439999,0.15735983848571777,0.15653330300000334,330.405339717865,326.74062323400045,0.03961212933063507,0.9871711875825677,0.9917256,0.99710757,0.9406133,0.8982953,0.9456958
33,0.19318181818181818,4224,80.296587264,8.8,1.587838464,3.75385862542588,0.1537914276123047,0.15308876199998167,362.6284148693085,347.6233497509998,9.846687316894531e-05,9.877000002234126e-05,31.853896856307983,20.494986528000485,0.15365123748779297,0.15295546200002264,330.65668177604675,326.9821610059999,0.1536085605621338,0.15288045200003353,330.5589482784271,326.8935036860005,0.03598492592573166,0.9883977745043768,0.9932494,0.9968417,0.9770927,0.87217134,0.95298284
34,0.19886363636363635,4352,80.297336832,8.8,1.587838464,3.75385862542588,0.16707682609558105,0.16301135800000566,362.79549169540405,347.7863611089998,0.014912128448486328,0.011595814999964205,31.86880898475647,20.50658234300045,0.15209603309631348,0.15135156299999153,330.80877780914307,327.1335125689999,0.15205001831054688,0.15130976300002885,330.71099829673767,327.0448134490005,0.03513598442077637,0.9881366705164676,0.99298537,0.9972283,0.9522867,0.87724704,0.95320415
35,0.20454545454545456,4480,80.339116032,8.8,1.587838464,3.75385862542588,0.16147232055664062,0.1576911749999681,362.9569640159607,347.9440522839998,0.010430097579956055,0.007428143000026921,31.879239082336426,20.514010486000476,0.15097880363464355,0.15020392200000288,330.9597566127777,327.2837164909999,0.15093064308166504,0.15015999199999897,330.86192893981934,327.1949734410005,0.03303241729736328,0.9881166825608,0.9925794,0.9972665,0.93144506,0.9051274,0.95089364
36,0.21022727272727273,4608,80.302821376,8.8,1.587838464,3.75385862542588,0.1815042495727539,0.17339845899999773,363.13846826553345,348.1174507429998,0.02507925033569336,0.017757915999993656,31.90431833267212,20.53176840200047,0.1563560962677002,0.15557429300002923,331.1161127090454,327.4392907839999,0.15630841255187988,0.15553090299999894,331.0182373523712,327.3505043440005,0.03656976297497749,0.9883890510361303,0.9944165,0.9964685,0.97825193,0.8879102,0.9519027
37,0.2159090909090909,4736,80.361578496,8.8,1.587838464,3.75385862542588,0.1559586524963379,0.15513301400000046,363.2944269180298,348.2725837569998,0.00013327598571777344,0.00015446999998403044,31.904451608657837,20.531922872000454,0.1557927131652832,0.15494590400004427,331.2719054222107,327.59423668799997,0.15575075149536133,0.15490850400004774,331.1739881038666,327.50541284800056,0.036308299750089645,0.9884366828539409,0.9925034,0.9974854,0.9606148,0.8820747,0.95018953
38,0.2215909090909091,4864,80.29689856,8.8,1.587838464,3.75385862542588,0.17545413970947266,0.17119536899997456,363.46988105773926,348.44377912599975,0.015543937683105469,0.01212101400000165,31.919995546340942,20.544043886000456,0.15984749794006348,0.15901619499999242,331.43175292015076,327.75325288299996,0.15980291366577148,0.15897552500001666,331.33379101753235,327.6643883730006,0.036274295300245285,0.988127334202559,0.9941583,0.9969656,0.91787547,0.8758993,0.9534997
39,0.22727272727272727,4992,80.30195712,8.8,1.587838464,3.75385862542588,0.1655416488647461,0.16150038600000016,363.635422706604,348.60527951199975,0.011199951171875,0.007965452999997069,31.931195497512817,20.552009339000453,0.1542799472808838,0.15347772299998041,331.58603286743164,327.90673060599994,0.1542341709136963,0.15343604299999924,331.48802518844604,327.8178244160006,0.03652775287628174,0.9878067573660769,0.99053836,0.9972188,0.95933795,0.89006144,0.9503677
40,0.23295454545454544,5120,80.294674432,8.8,1.587838464,3.75385862542588,0.17689943313598633,0.16963466799995786,363.81232213974,348.7749141799997,0.023392915725708008,0.01687775599998531,31.954588413238525,20.568887095000438,0.15343809127807617,0.15269274199999927,331.7394709587097,328.05942334799994,0.15339040756225586,0.15264855200001648,331.6414155960083,327.9704729680006,0.0353887714445591,0.9883446670639782,0.9932778,0.99726814,0.9694908,0.89220583,0.9488458
41,0.23863636363636365,5248,80.321400832,8.8,1.587838464,3.75385862542588,0.1514415740966797,0.1508056819999979,363.96376371383667,348.9257198619997,9.679794311523438e-05,0.00010815000001684894,31.95468521118164,20.568995245000455,0.15131258964538574,0.15066577200002484,331.8907835483551,328.21008911999996,0.15127086639404297,0.1506281720000402,331.79268646240234,328.12110114000063,0.039070844650268555,0.9878774622106075,0.99324137,0.9969572,0.936259,0.8968213,0.9494306
