iter,epoch,first_entry,cpu_mem,cpu_mem_perc,gpu_mem,gpu_mem_perc,iteration_time,iteration_time_cpu,iteration_time_sum,iteration_time_sum_cpu,load_time,load_time_cpu,load_time_sum,load_time_sum_cpu,model_time,model_time_cpu,model_time_sum,model_time_sum_cpu,model_forward_time,model_forward_time_cpu,model_forward_time_sum,model_forward_time_sum_cpu,loss,accuracy,accuracy_class_0,accuracy_class_1,accuracy_class_2,accuracy_class_3,accuracy_class_4
0,0.005681818181818182,0,79.923552256,8.7,1.587838464,3.75385862542588,0.3712306022644043,0.19769159700001637,155.0844748020172,147.33204963300014,0.20848917961120605,0.03582099099998004,13.979790925979614,8.899152248999972,0.1625983715057373,0.16173380600000087,141.05714201927185,138.371084552,0.16251182556152344,0.1616534759999979,141.0162513256073,138.33410285999983,0.04812866076827049,0.9846578288198875,0.9867847,0.99597865,0.8974178,0.87477636,0.9437055
1,0.011363636363636364,128,80.032886784,8.7,1.587838464,3.75385862542588,0.15155649185180664,0.1510076120000008,155.23603129386902,147.48305724500014,0.0002033710479736328,0.00015752000001612032,13.979994297027588,8.899309768999988,0.15130066871643066,0.15072617199999172,141.20844268798828,138.521810724,0.1512596607208252,0.15068905199998994,141.16751098632812,138.48479191199982,0.04856615141034126,0.9842588790702833,0.9872141,0.9962506,0.88629794,0.87138313,0.9441457
2,0.017045454545454544,256,80.019873792,8.7,1.587838464,3.75385862542588,0.18924570083618164,0.18073399100001097,155.4252769947052,147.66379123600015,0.02754068374633789,0.01969357600000876,14.007534980773926,8.919003344999997,0.1616373062133789,0.16097777500002053,141.37007999420166,138.68278849900003,0.1615898609161377,0.16093480499998236,141.32910084724426,138.6457267169998,0.04599165916442871,0.9849964392844041,0.9871892,0.9972478,0.9079742,0.8798174,0.94501513
3,0.022727272727272728,384,80.076525568,8.7,1.587838464,3.75385862542588,0.14866399765014648,0.1480338419999896,155.57394099235535,147.81182507800014,0.00014448165893554688,0.00010409999998728381,14.007679462432861,8.919107444999984,0.14848661422729492,0.1478309720000084,141.51856660842896,138.83061947100003,0.14844393730163574,0.14779212199999847,141.4775447845459,138.7935188389998,0.04389070346951485,0.9855395366568104,0.989402,0.9966733,0.91862726,0.8776694,0.94483155
4,0.028409090909090908,512,80.02275328,8.7,1.587838464,3.75385862542588,0.1819617748260498,0.1735642710000036,155.7559027671814,147.98538934900014,0.0267486572265625,0.018967957999990404,14.034428119659424,8.938075402999974,0.15513944625854492,0.15452743299999838,141.6737060546875,138.98514690400003,0.15508794784545898,0.15448001300001124,141.63263273239136,138.9479988519998,0.04294751584529877,0.9862062170550273,0.98835105,0.9972908,0.92107046,0.88493323,0.94725144
5,0.03409090909090909,640,80.072486912,8.7,1.587838464,3.75385862542588,0.1440753936767578,0.14353099900000643,155.89997816085815,148.12892034800015,0.0001544952392578125,0.00010840999999572887,14.034582614898682,8.93818381299997,0.14388704299926758,0.1433166189999895,141.81759309768677,139.12846352300002,0.1438438892364502,0.14327734900001587,141.7764766216278,139.09127620099983,0.044481273740530014,0.9852186647914526,0.9856816,0.99744713,0.92311966,0.87618476,0.9437678
6,0.03977272727272727,768,80.017616896,8.7,1.587838464,3.75385862542588,0.17633986473083496,0.16832786800000576,156.076318025589,148.29724821600016,0.02612590789794922,0.018738385999995444,14.06070852279663,8.956922198999965,0.15014433860778809,0.14952473200000327,141.96773743629456,139.27798825500003,0.15009450912475586,0.1494794019999972,141.92657113075256,139.24075560299983,0.04534289240837097,0.9852191015287695,0.98786765,0.99698496,0.9132535,0.8825194,0.9392653
7,0.045454545454545456,896,80.06821888,8.7,1.587838464,3.75385862542588,0.15344691276550293,0.15282911099998842,156.2297649383545,148.45007732700014,0.00014543533325195312,0.00010542999999074709,14.060853958129883,8.957027628999956,0.15326857566833496,0.15262489099998788,142.1210060119629,139.430613146,0.1532280445098877,0.15258820100001458,142.07979917526245,139.39334380399984,0.0439424104988575,0.9851642669636465,0.98690104,0.9965995,0.9355775,0.85913205,0.9436943
8,0.05113636363636364,1024,80.013606912,8.7,1.587838464,3.75385862542588,0.18101787567138672,0.1726966409999875,156.41078281402588,148.62277396800013,0.02719855308532715,0.01943247799999881,14.08805251121521,8.976460106999955,0.1537463665008545,0.15319754300000454,142.27475237846375,139.58381068900002,0.1537001132965088,0.15315545300001077,142.23349928855896,139.54649925699985,0.04268467053771019,0.9853648039245559,0.98869663,0.9970347,0.91179156,0.8637507,0.94327223
9,0.056818181818181816,1152,80.069165056,8.7,1.587838464,3.75385862542588,0.1528306007385254,0.15220380300002034,156.5636134147644,148.77497777100015,0.00015163421630859375,0.0001144699999997556,14.088204145431519,8.976574576999955,0.15264630317687988,0.15200224299999832,142.42739868164062,139.73581293200002,0.1526033878326416,0.15196363300000826,142.3861026763916,139.69846288999986,0.04190640524029732,0.9860920319661763,0.9894676,0.9967993,0.9525279,0.87463605,0.9473819
