iter,epoch,first_entry,cpu_mem,cpu_mem_perc,gpu_mem,gpu_mem_perc,iteration_time,iteration_time_cpu,iteration_time_sum,iteration_time_sum_cpu,load_time,load_time_cpu,load_time_sum,load_time_sum_cpu,model_time,model_time_cpu,model_time_sum,model_time_sum_cpu,model_forward_time,model_forward_time_cpu,model_forward_time_sum,model_forward_time_sum_cpu,loss,accuracy,accuracy_class_0,accuracy_class_1,accuracy_class_2,accuracy_class_3,accuracy_class_4
0,0.005681818181818182,0,79.895658496,8.7,1.587838464,3.75385862542588,0.45543622970581055,0.2256608280000023,138.2046730518341,131.0465871850002,0.2845911979675293,0.055945960000002515,12.423972845077515,7.875619892999997,0.17072296142578125,0.1695988179999972,125.73759245872498,123.116184714,0.1706533432006836,0.16953813799997874,125.70115733146667,123.08322169499996,0.03673453629016876,0.9887262315484349,0.99133384,0.9974401,0.96108955,0.9116554,0.95068485
1,0.011363636363636364,128,80.0045056,8.7,1.587838464,3.75385862542588,0.15164971351623535,0.15106904099999952,138.35632276535034,131.1976562260002,0.00011920928955078125,0.00011571999999659965,12.424092054367065,7.875735612999994,0.15149497985839844,0.15090040100000124,125.88908743858337,123.267085115,0.15145397186279297,0.1508632910000074,125.85261130332947,123.23408498599997,0.038292333483695984,0.9885653570796125,0.99228626,0.9977167,0.9428778,0.91395247,0.9514057
2,0.017045454545454544,256,79.996956672,8.7,1.587838464,3.75385862542588,0.16065692901611328,0.16005730500000936,138.51697969436646,131.3577135310002,0.00010228157043457031,0.00011662000000001171,12.4241943359375,7.875852232999994,0.1605207920074463,0.15990588500000058,126.04960823059082,123.426991,0.16047954559326172,0.1598689850000028,126.01309084892273,123.39395397099997,0.038890231400728226,0.9883989008538524,0.99232495,0.99766207,0.92608786,0.92393506,0.9519946
3,0.022727272727272728,384,80.053317632,8.7,1.587838464,3.75385862542588,0.1494290828704834,0.14872685200001,138.66640877723694,131.5064403830002,0.00016641616821289062,0.00018721000000709864,12.424360752105713,7.876039443000001,0.14922451972961426,0.14850231199997665,126.19883275032043,123.57549331199998,0.14918065071105957,0.14846285199999443,126.16227149963379,123.54241682299997,0.036480359733104706,0.9888993574663673,0.991976,0.9976198,0.96827114,0.9243389,0.95254177
4,0.028409090909090908,512,79.956779008,8.7,1.587838464,3.75385862542588,0.2089064121246338,0.19418267599999695,138.87531518936157,131.7006230590002,0.05311703681945801,0.039023412999995344,12.477477788925171,7.915062855999996,0.15571832656860352,0.15509301299999834,126.35455107688904,123.73058632499998,0.15566182136535645,0.15504603299999076,126.31793332099915,123.69746285599996,0.03554625064134598,0.9893780292322092,0.9932692,0.997891,0.9369919,0.9151303,0.9546678
5,0.03409090909090909,640,80.004796416,8.7,1.587838464,3.75385862542588,0.14516305923461914,0.14455107000000567,139.0204782485962,131.8451741290002,0.00015211105346679688,0.00010897999999315289,12.477629899978638,7.915171835999989,0.14497709274291992,0.1443367199999841,126.49952816963196,123.87492304499996,0.14493298530578613,0.14429724999999394,126.46286630630493,123.84176010599995,0.034023020416498184,0.9887647427691062,0.99048835,0.9981462,0.9824009,0.9154506,0.9495887
6,0.03977272727272727,768,80.059133952,8.7,1.587838464,3.75385862542588,0.14928865432739258,0.14873509200000967,139.16976690292358,131.99390922100022,0.0001552104949951172,0.00011153999997759456,12.477785110473633,7.915283375999967,0.14909744262695312,0.14851063199998293,126.64862561225891,124.02343367699994,0.14905428886413574,0.1484714319999796,126.61192059516907,123.99023153799993,0.03591305390000343,0.9889498993230376,0.9928341,0.9978078,0.951887,0.91479117,0.94862145
7,0.045454545454545456,896,80.110084096,8.7,1.587838464,3.75385862542588,0.1528782844543457,0.15233079299997598,139.32264518737793,132.1462400140002,0.00015282630920410156,0.00011070000002177949,12.477937936782837,7.915394075999989,0.15269017219543457,0.15210780300000692,126.80131578445435,124.17554147999995,0.15264892578125,0.15207065299998135,126.76456952095032,124.14230219099991,0.03275492787361145,0.9893197116568367,0.99236953,0.99744093,0.9806539,0.91996753,0.9516559
8,0.05113636363636364,1024,79.943573504,8.7,1.587838464,3.75385862542588,0.20871686935424805,0.1941375970000081,139.53136205673218,132.3403776110002,0.05496382713317871,0.04099097599998913,12.532901763916016,7.956385051999978,0.15368866920471191,0.15308719099999735,126.95500445365906,124.32862867099995,0.15364313125610352,0.15304566099999306,126.91821265220642,124.2953478519999,0.03345857933163643,0.9892097565434657,0.99264616,0.99806935,0.95626026,0.9030184,0.9528522
9,0.056818181818181816,1152,79.999320064,8.7,1.587838464,3.75385862542588,0.1526179313659668,0.15204768199998853,139.68397998809814,132.4924252930002,0.00015473365783691406,0.00011248999999224907,12.533056497573853,7.95649754199997,0.15242743492126465,0.1518272020000211,127.10743188858032,124.48045587299997,0.15238451957702637,0.15178862199999799,127.07059717178345,124.4471364739999,0.03395400196313858,0.9892319141040163,0.99296004,0.99763066,0.9812485,0.9180077,0.95401806
10,0.0625,1280,80.052502528,8.7,1.587838464,3.75385862542588,0.14745378494262695,0.14685809099998437,139.83143377304077,132.63928338400018,0.00015997886657714844,0.00010831000000166568,12.53321647644043,7.956605851999972,0.14725732803344727,0.14662939100000472,127.25468921661377,124.62708526399997,0.14721250534057617,0.14658924099998671,127.21780967712402,124.59372571499989,0.0403473787009716,0.9881834315913465,0.99249107,0.9974156,0.89235955,0.9078458,0.952036
