iter,epoch,first_entry,cpu_mem,cpu_mem_perc,gpu_mem,gpu_mem_perc,iteration_time,iteration_time_cpu,iteration_time_sum,iteration_time_sum_cpu,load_time,load_time_cpu,load_time_sum,load_time_sum_cpu,model_time,model_time_cpu,model_time_sum,model_time_sum_cpu,model_forward_time,model_forward_time_cpu,model_forward_time_sum,model_forward_time_sum_cpu,loss,accuracy,accuracy_class_0,accuracy_class_1,accuracy_class_2,accuracy_class_3,accuracy_class_4
0,0.005681818181818182,0,79.917047808,8.7,1.587838464,3.75385862542588,0.4511709213256836,0.20527916000000346,121.29673218727112,114.77280324100013,0.28765344619750977,0.042669424999999706,10.840407133102417,6.857566957999983,0.16338276863098145,0.1624855150000002,110.4181923866272,107.86765534700001,0.16331124305725098,0.16241814500000373,110.38632559776306,107.83881153900006,0.037494633346796036,0.9890925059470359,0.9917496,0.9977934,0.95366114,0.9039494,0.9527047
1,0.011363636363636364,128,79.972388864,8.7,1.587838464,3.75385862542588,0.1637897491455078,0.16004706600000418,121.46052193641663,114.93285030700014,0.010922908782958984,0.007772054000000139,10.851330041885376,6.865339011999983,0.15280389785766602,0.1522165819999941,110.57099628448486,108.019871929,0.15275788307189941,0.15217434199999502,110.53908348083496,107.99098588100006,0.03738781437277794,0.9887015764472822,0.991624,0.9980496,0.94974697,0.8992577,0.9532132
2,0.017045454545454544,256,80.02551808,8.7,1.587838464,3.75385862542588,0.16057157516479492,0.1600182549999971,121.62109351158142,115.09286856200013,9.632110595703125e-05,9.654000000125507e-05,10.851426362991333,6.865435551999984,0.16044187545776367,0.1598724550000128,110.73143815994263,108.17974438400002,0.1603989601135254,0.15983364500000619,110.69948244094849,108.15081952600006,0.03866806626319885,0.9883593373472309,0.991679,0.9977777,0.93275034,0.91949797,0.9526291
3,0.022727272727272728,384,80.082911232,8.7,1.587838464,3.75385862542588,0.14940881729125977,0.14871614000000477,121.77050232887268,115.24158470200014,0.0001010894775390625,0.00010127000000181852,10.851527452468872,6.865536821999986,0.14927434921264648,0.14856444999999496,110.88071250915527,108.32830883400001,0.1492321491241455,0.14852623999999537,110.84871459007263,108.29934576600006,0.03425219655036926,0.9885023416035096,0.99201196,0.99719834,0.96093243,0.90595394,0.9537536
4,0.028409090909090908,512,79.974907904,8.7,1.587838464,3.75385862542588,0.19746088981628418,0.1863389450000028,121.96796321868896,115.42792364700014,0.04191088676452637,0.03135395199998925,10.893438339233398,6.896890773999975,0.15547847747802734,0.15491813299999535,111.0361909866333,108.48322696700001,0.1554279327392578,0.15487185300000306,111.00414252281189,108.45421761900006,0.03458019345998764,0.9893818187330183,0.99239093,0.9978746,0.9469851,0.9097266,0.956233
5,0.03409090909090909,640,79.974273024,8.7,1.587838464,3.75385862542588,0.15604829788208008,0.15252929300000062,122.12401151657104,115.58045294000014,0.009979724884033203,0.007064591999991876,10.903418064117432,6.903955365999967,0.14600515365600586,0.14540504100000362,111.1821961402893,108.62863200800001,0.14595866203308105,0.14536250100000814,111.15010118484497,108.59958012000007,0.03225567191839218,0.9890632544180725,0.99149036,0.99818665,0.9805483,0.91018504,0.9504429
6,0.03977272727272727,768,80.028389376,8.7,1.587838464,3.75385862542588,0.1493360996246338,0.14882377200000008,122.27334761619568,115.72927671200014,0.00010180473327636719,0.00010198999999033731,10.903519868850708,6.904057355999957,0.1491994857788086,0.1486691420000028,111.33139562606812,108.77730115000001,0.14915704727172852,0.14863076199999625,111.2992582321167,108.74821088200007,0.0346350260078907,0.9891487192681867,0.992976,0.9978239,0.9588625,0.9125265,0.9495186
7,0.045454545454545456,896,80.079323136,8.7,1.587838464,3.75385862542588,0.15302252769470215,0.15244732299998986,122.42637014389038,115.88172403500013,0.0001494884490966797,0.0001082800000062889,10.903669357299805,6.904165635999964,0.15283942222595215,0.15223411300000578,111.48423504829407,108.92953526300002,0.15279555320739746,0.15219437300000038,111.4520537853241,108.90040525500007,0.035563670098781586,0.988552640052123,0.99014777,0.99716675,0.98046046,0.9055022,0.95300615
8,0.05113636363636364,1024,79.971328,8.7,1.587838464,3.75385862542588,0.1934525966644287,0.18267366499999582,122.61982274055481,116.06439770000013,0.039175987243652344,0.029041102000007868,10.942845344543457,6.933206737999972,0.15420770645141602,0.15356778299999974,111.63844275474548,109.08310304600002,0.1541590690612793,0.153523203000006,111.60621285438538,109.05392845800007,0.03479873389005661,0.9890155093086322,0.99173987,0.9981242,0.9566248,0.8953326,0.9537094
9,0.056818181818181816,1152,79.972274176,8.7,1.587838464,3.75385862542588,0.16373252868652344,0.15983306600000446,122.78355526924133,116.22423076600013,0.010585784912109375,0.007538943000000131,10.953431129455566,6.940745680999972,0.15308856964111328,0.15224072300000557,111.7915313243866,109.23534376900002,0.15303945541381836,0.15219650299999898,111.7592523097992,109.20612496100007,0.03135446459054947,0.9896671452914397,0.99358,0.99807405,0.9831474,0.9062069,0.9550884
10,0.0625,1280,80.026595328,8.7,1.587838464,3.75385862542588,0.14742040634155273,0.14687325999999246,122.93097567558289,116.37110402600013,0.000164031982421875,0.00018927000000701355,10.953595161437988,6.940934950999979,0.14722394943237305,0.14665218999999752,111.93875527381897,109.38199595900002,0.14718341827392578,0.14661570999999185,111.90643572807312,109.35274067100006,0.03808895871043205,0.9881007018241914,0.9924151,0.9974089,0.9026966,0.89682895,0.9520055
11,0.06818181818181818,1408,80.084123648,8.7,1.587838464,3.75385862542588,0.15948915481567383,0.15886789400001078,123.09046483039856,116.52997192000014,0.0001475811004638672,0.0001061500000076876,10.953742742538452,6.941041100999986,0.15930938720703125,0.15866405399999906,112.098064661026,109.54066001300002,0.15926504135131836,0.15862487400001157,112.06570076942444,109.51136554500007,0.034407537430524826,0.9887288493181479,0.9921736,0.997879,0.9593675,0.9002685,0.95402443
12,0.07386363636363637,1536,79.993929728,8.7,1.587838464,3.75385862542588,0.19193577766418457,0.18077836300000172,123.28240060806274,116.71075028300014,0.0407404899597168,0.030240161000008925,10.994483232498169,6.971281261999995,0.15112757682800293,0.15047527200000843,112.249192237854,109.69113528500003,0.15108346939086914,0.15043497199999933,112.21678423881531,109.66180051700007,0.03875971958041191,0.9885430879518333,0.9931466,0.99749273,0.940738,0.9131732,0.95207715
13,0.07954545454545454,1664,79.985147904,8.7,1.587838464,3.75385862542588,0.1637117862701416,0.15031663199999912,123.44611239433289,116.86106691500014,0.009946823120117188,0.007080932999997458,11.004430055618286,6.978362194999993,0.15370488166809082,0.1431793889999966,112.4028971195221,109.83431467400003,0.1536576747894287,0.14313660899999547,112.37044191360474,109.80493712600007,0.03206774219870567,0.9895635052213175,0.992772,0.99796695,0.9637168,0.8940112,0.95687735
14,0.08522727272727272,1792,80.040095744,8.7,1.587838464,3.75385862542588,0.14990496635437012,0.14930446099999983,123.59601736068726,117.01037137600014,0.0001442432403564453,0.00010469000000057349,11.004574298858643,6.978466884999993,0.14972805976867676,0.14910204100000612,112.55262517929077,109.98341671500003,0.14968538284301758,0.14906365099999164,112.52012729644775,109.95400077700006,0.030526340007781982,0.9899586816565773,0.9941978,0.998072,0.96227217,0.9098516,0.953562
15,0.09090909090909091,1920,80.094232576,8.7,1.587838464,3.75385862542588,0.14781808853149414,0.14728522000000055,123.74383544921875,117.15765659600014,0.00014472007751464844,0.00010942000000113694,11.004719018936157,6.9785763049999945,0.14763903617858887,0.1470820799999899,112.70026421546936,110.13049879500002,0.1475963592529297,0.14704387000000452,112.66772365570068,110.10104464700007,0.03477568179368973,0.9888064827627401,0.99455744,0.99764585,0.9721079,0.8882379,0.9517185
16,0.09659090909090909,2048,79.98939136,8.7,1.587838464,3.75385862542588,0.19548392295837402,0.184150915999993,123.93931937217712,117.34180751200013,0.04187440872192383,0.031128492999997093,11.046593427658081,7.009704797999992,0.15354084968566895,0.1529585830000002,112.85380506515503,110.28345737800002,0.15349316596984863,0.15291519299999834,112.82121682167053,110.25395984000006,0.04164290428161621,0.9881724460396246,0.99200153,0.9980286,0.90770984,0.90053034,0.9513279
17,0.10227272727272728,2176,79.985688576,8.7,1.587838464,3.75385862542588,0.16010069847106934,0.1563397139999978,124.0994200706482,117.49814722600013,0.010268926620483398,0.007097752999996487,11.056862354278564,7.016802550999988,0.14977121353149414,0.14918554099999426,113.00357627868652,110.43264291900002,0.1497175693511963,0.1491419610000122,112.97093439102173,110.40310180100008,0.035629380494356155,0.9888685390274762,0.99300236,0.99791384,0.9652805,0.8714939,0.9507234
18,0.10795454545454546,2304,80.045109248,8.7,1.587838464,3.75385862542588,0.14874696731567383,0.14818327000000409,124.24816703796387,117.64633049600013,0.0001480579376220703,0.00010759999999265801,11.057010412216187,7.016910150999981,0.14856481552124023,0.1479775399999994,113.15214109420776,110.58062045900002,0.14852237701416016,0.14793896999999845,113.11945676803589,110.55104077100007,0.03666349872946739,0.9885705844163417,0.9926867,0.99797964,0.96524316,0.86336905,0.9522335
19,0.11363636363636363,2432,80.10145792,8.7,1.587838464,3.75385862542588,0.15750980377197266,0.15690828399999646,124.40567684173584,117.80323878000013,0.00014019012451171875,0.00010620000000471919,11.057150602340698,7.017016350999985,0.15733695030212402,0.15671310400000493,113.30947804450989,110.73733356300002,0.15728759765625,0.15667341399999657,113.27674436569214,110.70771418500007,0.03335702791810036,0.9888479281463318,0.99393713,0.9973052,0.98476505,0.8897201,0.9536325
20,0.11931818181818182,2560,79.998734336,8.7,1.587838464,3.75385862542588,0.19623184204101562,0.18511067400000059,124.60190868377686,117.98834945400013,0.04227304458618164,0.031743641000005596,11.09942364692688,7.048759991999991,0.15389108657836914,0.1533046930000097,113.46336913108826,110.89063825600003,0.15384292602539062,0.15326120299999957,113.43058729171753,110.86097538800007,0.033557552844285965,0.9894598280237887,0.9932473,0.9978871,0.96483773,0.909637,0.9513736
21,0.125,2688,80.002420736,8.7,1.587838464,3.75385862542588,0.1587369441986084,0.15477747399999942,124.76064562797546,118.14312692800013,0.010378360748291016,0.0070180230000005395,11.109802007675171,7.055778014999992,0.1482985019683838,0.14770355100000643,113.61166763305664,111.03834180700004,0.14825057983398438,0.1476604710000089,113.57883787155151,111.00863585900008,0.03727812319993973,0.9881618109080738,0.9931576,0.99782026,0.9540206,0.8960112,0.9497751
22,0.13068181818181818,2816,80.055181312,8.7,1.587838464,3.75385862542588,0.15286922454833984,0.1522974519999991,124.9135148525238,118.29542438000013,0.00014519691467285156,0.00010548000000198954,11.109947204589844,7.055883494999994,0.15269088745117188,0.15209535200000346,113.76435852050781,111.19043715900004,0.1526479721069336,0.1520570819999989,113.73148584365845,111.16069294100008,0.03589700907468796,0.9890331653848206,0.9900163,0.998262,0.960311,0.91006845,0.95482516
23,0.13636363636363635,2944,80.108118016,8.7,1.587838464,3.75385862542588,0.15120220184326172,0.1505961020000086,125.06471705436707,118.44602048200014,0.0001461505889892578,0.00010492999999200947,11.110093355178833,7.055988424999986,0.15102267265319824,0.1503994719999895,113.91538119316101,111.34083663100003,0.15097975730895996,0.15036042199999144,113.88246560096741,111.31105336300007,0.033597368746995926,0.9892720511007204,0.9923417,0.9981145,0.9711065,0.8978222,0.95245
24,0.14204545454545456,3072,80.018305024,8.7,1.587838464,3.75385862542588,0.19417643547058105,0.18330064200000606,125.25889348983765,118.62932112400014,0.04211854934692383,0.03173728000000153,11.152211904525757,7.087725704999987,0.1519908905029297,0.1515011220000133,114.06737208366394,111.49233775300004,0.15194487571716309,0.15145890200000167,114.03441047668457,111.46251226500007,0.03404064103960991,0.9891114214035276,0.9922758,0.99759257,0.98038816,0.8973514,0.9548261
25,0.14772727272727273,3200,80.020688896,8.7,1.587838464,3.75385862542588,0.15967154502868652,0.15599899200000777,125.41856503486633,118.78532011600015,0.010330677032470703,0.0072451610000001665,11.162542581558228,7.094970865999987,0.14928197860717773,0.14869891099999677,114.21665406227112,111.64103666400004,0.14923524856567383,0.14865633099999798,114.18364572525024,111.61116859600007,0.03796161711215973,0.98819152916563,0.9911916,0.9975288,0.94338405,0.9053089,0.9502266
26,0.1534090909090909,3328,80.074162176,8.7,1.587838464,3.75385862542588,0.15970134735107422,0.15903825499999868,125.57826638221741,118.94435837100015,0.00015044212341308594,0.00010860999999806609,11.16269302368164,7.095079475999985,0.15951943397521973,0.15883183500000086,114.37617349624634,111.79986849900004,0.15947771072387695,0.15879399499999636,114.34312343597412,111.76996259100007,0.03206862509250641,0.9893843874171298,0.993761,0.99795884,0.96345747,0.8859883,0.9519748
27,0.1590909090909091,3456,80.127647744,8.7,1.587838464,3.75385862542588,0.156296968460083,0.15574887400001103,125.73456335067749,119.10010724500016,0.00010228157043457031,0.00011471999999912441,11.162795305252075,7.0951941959999845,0.15616154670715332,0.15560175399998855,114.53233504295349,111.95547025300003,0.15611958503723145,0.15556355399999688,114.49924302101135,111.92552614500006,0.031272850930690765,0.9900041842088698,0.9924744,0.99781233,0.96405834,0.9164456,0.9536482
28,0.16477272727272727,3584,80.049000448,8.7,1.587838464,3.75385862542588,0.19701218605041504,0.18634987499999056,125.9315755367279,119.28645712000015,0.04150080680847168,0.03141413100000534,11.204296112060547,7.12660832699999,0.1554415225982666,0.15487063400000523,114.68777656555176,112.11034088700004,0.15539264678955078,0.15482629400000292,114.6546356678009,112.08035243900007,0.03572726994752884,0.9892894259109573,0.9917179,0.99784636,0.9633867,0.9151487,0.9531269
