iter,epoch,first_entry,cpu_mem,cpu_mem_perc,gpu_mem,gpu_mem_perc,iteration_time,iteration_time_cpu,iteration_time_sum,iteration_time_sum_cpu,load_time,load_time_cpu,load_time_sum,load_time_sum_cpu,model_time,model_time_cpu,model_time_sum,model_time_sum_cpu,model_forward_time,model_forward_time_cpu,model_forward_time_sum,model_forward_time_sum_cpu,loss,accuracy,accuracy_class_0,accuracy_class_1,accuracy_class_2,accuracy_class_3,accuracy_class_4
0,0.005681818181818182,0,79.952146432,8.7,1.587838464,3.75385862542588,0.37920713424682617,0.1862160849999981,70.79393458366394,66.083619342,0.21538996696472168,0.02341693799999689,6.376155376434326,4.018830483000007,0.16364455223083496,0.16264475699999537,64.39665937423706,62.03814850099999,0.16353082656860352,0.1625401370000077,64.37868523597717,62.02188704800009,0.03490753471851349,0.9890688753406746,0.991024,0.99743044,0.9648037,0.9091785,0.9541663
1,0.011363636363636364,128,79.98152704,8.7,1.587838464,3.75385862542588,0.19679641723632812,0.18302082200000314,70.99073100090027,66.26664016400001,0.04277777671813965,0.029708937999998852,6.418933153152466,4.048539421000005,0.1539170742034912,0.15322461399999554,64.55057644844055,62.19137311499998,0.1538712978363037,0.1531827640000074,64.53255653381348,62.175069812000096,0.03650064766407013,0.9885497891518787,0.99119467,0.9975049,0.9708966,0.8977428,0.953751
2,0.017045454545454544,256,80.034111488,8.7,1.587838464,3.75385862542588,0.16230034828186035,0.1615454249999999,71.15303134918213,66.42818558900001,0.00014710426330566406,0.00010602000000403677,6.4190802574157715,4.0486454410000094,0.16211867332458496,0.16133446500001014,64.71269512176514,62.35270757999999,0.16207480430603027,0.16129498499999784,64.6946313381195,62.336364797000094,0.03867603465914726,0.988308983793349,0.99169165,0.99720925,0.9404538,0.91987824,0.95407355
3,0.022727272727272728,384,80.03160064,8.7,1.587838464,3.75385862542588,0.14803338050842285,0.14745652099999518,71.30106472969055,66.57564211,0.00016570091247558594,0.00010960999999554133,6.419245958328247,4.048755051000005,0.14782953262329102,0.147219230999994,64.86052465438843,62.49992681099999,0.14778614044189453,0.1471798209999946,64.8424174785614,62.48354461800009,0.032071735709905624,0.9893773566644347,0.99264467,0.9974955,0.9896396,0.9165606,0.95467764
4,0.028409090909090908,512,80.061648896,8.7,1.587838464,3.75385862542588,0.16898274421691895,0.1650365770000093,71.47004747390747,66.74067868700001,0.013483762741088867,0.01025121399999307,6.432729721069336,4.059006264999998,0.15543055534362793,0.1547217529999898,65.01595520973206,62.65464856399998,0.15538549423217773,0.15468050299999447,64.99780297279358,62.63822512100008,0.03177168220281601,0.9896679260441023,0.9922223,0.99812716,0.962229,0.90781945,0.95652556
5,0.03409090909090909,640,79.980347392,8.7,1.587838464,3.75385862542588,0.18222427368164062,0.17106258100000105,71.65227174758911,66.91174126800001,0.03685450553894043,0.026292630999989797,6.469584226608276,4.085298895999988,0.14530229568481445,0.14470663999999545,65.16125750541687,62.79935520399997,0.14525485038757324,0.14466335000000186,65.14305782318115,62.782888471000085,0.031469885259866714,0.9892856355793831,0.9918583,0.9979976,0.9824009,0.9130435,0.9518823
6,0.03977272727272727,768,80.034521088,8.7,1.587838464,3.75385862542588,0.1494755744934082,0.1488518809999988,71.80174732208252,67.06059314900001,0.00014257431030273438,0.00010612999999182193,6.469726800918579,4.08540502599998,0.14930033683776855,0.14865300099999956,65.31055784225464,62.94800820499997,0.1492598056793213,0.14861653100000183,65.29231762886047,62.93150500200009,0.03650261461734772,0.9885522594327394,0.99149394,0.9974832,0.9597568,0.8985138,0.9508323
7,0.045454545454545456,896,80.025694208,8.7,1.587838464,3.75385862542588,0.15293598175048828,0.15243842200000302,71.95468330383301,67.21303157100002,0.000102996826171875,0.00012080999999852793,6.469829797744751,4.085525835999978,0.15279793739318848,0.15228278200000034,65.46335577964783,63.10029098699997,0.1527550220489502,0.15224409200000366,65.44507265090942,63.08374909400009,0.0352594293653965,0.9890223530347626,0.9924294,0.996776,0.9818147,0.8964445,0.95497715
8,0.05113636363636364,1024,80.055881728,8.7,1.587838464,3.75385862542588,0.16771721839904785,0.16370600599999818,72.12240052223206,67.37673757700001,0.01346731185913086,0.01019728299999656,6.483297109603882,4.095723118999975,0.1541886329650879,0.1534514129999991,65.61754441261292,63.25374239999997,0.1541440486907959,0.1534107030000058,65.59921669960022,63.237159797000096,0.033002156764268875,0.989560163320028,0.9919904,0.9982144,0.9651905,0.9045556,0.9553788
9,0.056818181818181816,1152,79.97769728,8.7,1.587838464,3.75385862542588,0.19223284721374512,0.18020963099999676,72.3146333694458,67.55694720800001,0.03874564170837402,0.0273593879999936,6.522042751312256,4.123082506999968,0.15341901779174805,0.15278598300000112,65.77096343040466,63.40652838299997,0.15337061882019043,0.15274165299999254,65.75258731842041,63.38990145000009,0.03068041428923607,0.9896807462660467,0.9926294,0.9980117,0.9921671,0.9111112,0.9564156
