iter,epoch,first_entry,cpu_mem,cpu_mem_perc,gpu_mem,gpu_mem_perc,iteration_time,iteration_time_cpu,iteration_time_sum,iteration_time_sum_cpu,load_time,load_time_cpu,load_time_sum,load_time_sum_cpu,model_time,model_time_cpu,model_time_sum,model_time_sum_cpu,model_forward_time,model_forward_time_cpu,model_forward_time_sum,model_forward_time_sum_cpu,loss,accuracy,accuracy_class_0,accuracy_class_1,accuracy_class_2,accuracy_class_3,accuracy_class_4
0,0.005681818181818182,0,79.948414976,8.7,1.587838464,3.75385862542588,0.4239377975463867,0.2233894439999986,36.96993827819824,33.55962238699999,0.2567117214202881,0.057128085999998746,3.288623332977295,2.0514452499999907,0.16710186004638672,0.16614274799999862,33.670119762420654,31.494490162,0.16703414916992188,0.1660798779999979,33.66107678413391,31.48630832100002,0.0343293696641922,0.9888266616254706,0.9921002,0.9977099,0.94534844,0.90037155,0.95140743
1,0.011363636363636364,128,80.0523264,8.7,1.587838464,3.75385862542588,0.15201973915100098,0.15138826200000466,37.12195801734924,33.711010648999995,0.000179290771484375,0.0001922400000040625,3.2888026237487793,2.0516374899999947,0.15180301666259766,0.15115003200000388,33.82192277908325,31.645640194000006,0.15176033973693848,0.15111152200000078,33.81283712387085,31.63741984300002,0.03509777784347534,0.9887599561762834,0.9922353,0.9979689,0.953543,0.91092265,0.95130116
2,0.017045454545454544,256,80.103448576,8.7,1.587838464,3.75385862542588,0.16098904609680176,0.16040255400000092,37.282947063446045,33.871413202999996,0.00017571449279785156,0.00011429000000617862,3.288978338241577,2.051751780000001,0.1607804298400879,0.16016936400000503,33.98270320892334,31.80580955800001,0.16073942184448242,0.16013294400000433,33.97357654571533,31.797552787000026,0.03594810143113136,0.9885337764446075,0.9931988,0.99764603,0.9358734,0.9158215,0.95144105
3,0.022727272727272728,384,80.066506752,8.7,1.587838464,3.75385862542588,0.16312551498413086,0.15910825400000306,37.446072578430176,34.030521457,0.013866662979125977,0.010465152999998395,3.302845001220703,2.0622169329999993,0.1491999626159668,0.14858870100000132,34.13190317153931,31.954398259000012,0.14915752410888672,0.1485502510000032,34.12273406982422,31.94610303800003,0.03366904705762863,0.9885971513618039,0.9919401,0.99758875,0.9777682,0.90411544,0.9519359
4,0.028409090909090908,512,79.999070208,8.7,1.587838464,3.75385862542588,0.19165968894958496,0.1801149729999949,37.63773226737976,34.210636429999994,0.036516427993774414,0.02557891099999665,3.3393614292144775,2.087795843999996,0.1550769805908203,0.1544749719999956,34.28698015213013,32.108873231000004,0.15503311157226562,0.15443482200000602,34.277767181396484,32.10053786000003,0.032731153070926666,0.9896262415352026,0.9933816,0.99799925,0.9666328,0.90940875,0.953834
5,0.03409090909090909,640,80.04513792,8.7,1.587838464,3.75385862542588,0.14454436302185059,0.14398393999999826,37.78227663040161,34.35462036999999,0.00014257431030273438,0.0001011499999989951,3.3395040035247803,2.087896993999995,0.14437031745910645,0.14378668999999888,34.43135046958923,32.252659921,0.14432859420776367,0.1437488600000023,34.42209577560425,32.244286720000034,0.03313186764717102,0.9886164886615659,0.9910207,0.9982846,0.96498704,0.9082293,0.9489402
6,0.03977272727272727,768,80.097677312,8.7,1.587838464,3.75385862542588,0.14933156967163086,0.14875013200000353,37.93160820007324,34.503370501999996,0.0001430511474609375,0.0001395199999976171,3.339647054672241,2.0880365139999926,0.1491565704345703,0.14855821200000463,34.580507040023804,32.40121813300001,0.14911723136901855,0.14852347200000082,34.57121300697327,32.392810192000034,0.033579230308532715,0.9889752391199683,0.9924793,0.997946,0.9747809,0.90743095,0.9476442
7,0.045454545454545456,896,80.062865408,8.7,1.587838464,3.75385862542588,0.16733527183532715,0.16299455499999738,38.09894347190857,34.66636505699999,0.01353907585144043,0.009878342999996903,3.3531861305236816,2.0979148569999895,0.15372514724731445,0.15306133200000005,34.73423218727112,32.55427946500001,0.15368103981018066,0.1530210519999997,34.72489404678345,32.545831244000034,0.031757812947034836,0.9895791901996659,0.99315506,0.99782854,0.9796866,0.9059078,0.9519353
8,0.05113636363636364,1024,80.039845888,8.7,1.587838464,3.75385862542588,0.19080781936645508,0.17933513300000214,38.289751291275024,34.845700189999995,0.03668713569641113,0.025882310000000075,3.3898732662200928,2.1237971669999895,0.15405654907226562,0.15339405299999953,34.888288736343384,32.70767351800001,0.15401029586791992,0.15335200299999485,34.87890434265137,32.69918324700003,0.033093176782131195,0.989137389926567,0.993162,0.99799526,0.9517041,0.8993851,0.95234084
9,0.056818181818181816,1152,80.046915584,8.7,1.587838464,3.75385862542588,0.15278172492980957,0.1522383430000005,38.442533016204834,34.997938532999996,0.00010085105895996094,0.00011452000000389262,3.3899741172790527,2.1239116869999934,0.1526491641998291,0.1520915429999974,35.04093790054321,32.859765061000004,0.15260767936706543,0.15205462299999795,35.03151202201843,32.85123787000003,0.03143807128071785,0.989148365260002,0.9933527,0.99781424,0.9788749,0.90513414,0.953176
10,0.0625,1280,80.1073152,8.7,1.587838464,3.75385862542588,0.14733672142028809,0.14672674100000194,38.58986973762512,35.144665274,0.00013780593872070312,0.00010363100000176928,3.3901119232177734,2.124015317999995,0.14716720581054688,0.14653536000000145,35.18810510635376,33.006300421000006,0.14712738990783691,0.146499519999999,35.17863941192627,32.997737390000026,0.04018346592783928,0.9870941563238043,0.9905227,0.9970917,0.90764046,0.8829835,0.9505386
11,0.06818181818181818,1408,80.069115904,8.7,1.587838464,3.75385862542588,0.2068774700164795,0.17247340800000188,38.7967472076416,35.317138682,0.014360189437866211,0.010815832999995223,3.4044721126556396,2.1348311509999904,0.1924588680267334,0.16160232499999694,35.38056397438049,33.167902746,0.1924142837524414,0.16156223500000522,35.37105369567871,33.15929962500003,0.03379189223051071,0.9886919974277381,0.99267036,0.9978433,0.9724214,0.8994631,0.9519829
12,0.07386363636363637,1536,79.99711232,8.7,1.587838464,3.75385862542588,0.18734431266784668,0.1761344319999978,38.98409152030945,35.493273114,0.0360867977142334,0.025488810000005913,3.440558910369873,2.1603199609999963,0.15119028091430664,0.1505838819999994,35.5317542552948,33.318486628,0.15114450454711914,0.1505428720000026,35.52219820022583,33.309842497000034,0.034740108996629715,0.9889092996103587,0.9942094,0.9975682,0.96582437,0.913024,0.9503345
