,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,ke
603,834,18,1.5296914917890856,True,1,1,[8],[0.88349515],28.749936430903873
604,836,15,54.63876779065692,False,0,1,[9],[0.8425197],29.972040111430847
605,836,31,inf,False,1,1,[6],[0.6694915],37.042076738050774
606,837,12,0.29992675936508334,True,1,1,[8],[0.7254902],57.379698127335715
607,837,24,0.8999938985539948,True,1,1,[ 0 37],[8.5185188e-01 5.0942437e-04],45.153839032457874
608,838,21,0.2999267578125,True,1,1,[ 3 33],[0.8108108 0.0046729],20.348380579386863
609,838,34,0.29998779296875,True,0,1,[2],[0.82978725],35.089196219540305
610,838,37,0.599990844920591,True,1,1,[ 4 36],[8.645833e-01 6.489293e-04],40.64729506923311
611,839,16,221.981817109151,False,1,1,[ 4 34],[0.5498008  0.01030928],32.45747904907048
612,840,21,1.2727871710481786,True,1,1,[11  2 27],[0.537037   0.02724077 0.00657895],45.37101424711198
613,841,48,0.5196469584123313,True,1,1,[ 3 58],[0.7685185  0.00206612],41.50094337754099
614,842,28,0.6707453311824613,True,0,1,[11],[0.7118644],11.939873798796372
615,842,29,0.5195720783056401,True,1,1,[12],[0.72727275],16.877032339812956
616,843,17,0.6708476902510648,True,1,1,[ 0 19],[0.7647059  0.00119048],27.167148448257
617,843,27,0.899993896484375,True,1,1,[10],[0.484375],40.594959987047005
618,844,40,1.2727871720542923,True,1,1,[8],[0.50526315],46.276393808178874
619,845,8,0.29998779917781976,True,1,1,[2],[0.872093],30.85472111259402
620,846,8,0.3000030517578125,True,1,1,[ 3 22],[0.7552083 0.0010989],48.02761942338504
621,851,9,0.3000030517578125,True,1,1,[ 3 14],[8.2352942e-01 2.5974025e-04],46.78570450355624
622,851,14,1.3416953805888971,True,1,1,[4],[0.78688526],40.287777051309476
623,853,32,0.2999725419414195,True,1,1,[6],[0.79856116],41.7997896700032
624,853,42,0.4242036491853643,True,1,1,[7],[0.8425197],49.08765013992113
625,853,47,0.4243115434708169,True,1,1,[42],[0.00048333],9.294252478760953
626,854,16,1.2727709866240513,True,1,1,[7],[0.76],43.02083309216992
627,857,13,10.062274053747593,False,0,1,[ 5 15],[0.77124184 0.00220994],48.754598041713315
628,858,17,71.89244851058425,False,0,1,[ 3 35],[0.8455285  0.00388098],36.33812305823352
629,859,9,0.29999542236328125,True,0,1,[ 5 17],[0.675      0.00356506],17.867410318894972
630,860,14,0.5196205285183251,True,1,1,[0],[0.8186813],47.39596738686343
631,861,12,0.6709022973017598,True,1,1,[8],[0.7708333],23.24338484796053
632,863,17,0.3000030517578125,True,1,1,[ 3 26],[0.84615386 0.00381679],41.21082550610911
633,870,7,inf,False,0,1,[34  4],[0.8360656  0.05084746],28.706235076020228
634,870,36,0.30000305796656646,True,1,1,[8],[0.80508476],19.562230189336216
635,872,26,2.6495413907800125,True,1,1,[9],[0.7027027],17.883498180308187
636,873,17,0.899973551504155,True,0,1,[0],[0.7529412],46.72275010421335
637,873,29,0.4242036502830948,True,0,1,[ 9  2 25],[4.7899160e-01 4.1025642e-01 2.4624477e-04],36.108896579096914
638,874,13,0.3000488296769517,True,1,1,[ 7 23],[0.8888889 0.0021097],50.23795250061107
639,875,9,inf,False,1,1,[0],[0.8638743],50.10930885903724
640,876,31,2.3431006918965496,True,1,1,[ 7 33],[6.9791669e-01 1.8005041e-04],38.89909430876058
641,877,43,1.2369627781250807,True,1,1,[10],[0.8880597],36.083753287480896
642,879,14,16.551670914565673,False,1,1,[4],[0.77],46.32332583265434
643,879,30,0.6707794524339666,True,1,1,[ 7 26],[0.26153848 0.0004315 ],16.47024550946414
644,880,8,0.600006106620002,True,0,1,[ 5 22],[0.7352941  0.00331126],38.97206191279388
645,881,53,0.4243061492572429,True,1,1,[0],[0.8789809],42.57462336126173
646,885,11,2.1424631427075798,True,1,1,[ 0 27],[8.495575e-01 7.770008e-04],49.87417785721175
647,885,15,1.529673536668469,True,1,1,[ 7 32],[0.78651685 0.00124069],20.936608799242652
648,886,30,0.30000305369804814,True,1,1,[5],[0.81],48.20992773002186
649,888,26,0.29998779917781976,True,1,1,[ 2 27],[7.4358976e-01 3.6549708e-04],35.60085819375185
650,889,7,25.616198338355208,False,1,1,[3],[0.85],11.2948032572038
651,890,45,0.3000488285129879,True,1,1,[10 55],[0.8352941 0.0014881],44.292563100770145
652,892,10,0.29998779296875,True,1,1,[ 6 19],[0.83505154 0.01587302],40.15804820411988
653,892,16,0.3000488285129879,True,1,1,[ 7 24],[0.8333333  0.00083893],42.92421860829627
654,895,29,0.670793100969234,True,1,1,[ 9 39],[0.84166664 0.01209677],28.97419666612995
655,895,33,0.848536769098432,True,1,1,[10 43],[0.88659793 0.00123762],46.8535548017979
656,896,43,0.8486015091270732,True,1,1,[16 42],[0.7794872  0.00160901],45.37344336516828
657,899,17,0.6708272199644957,True,1,1,[4],[0.84102565],38.81576735686632
