index,run,subrun,event,reco_interaction_id,reco_vertex_x,reco_vertex_y,reco_vertex_z,reco_leading_ph_start_point_x,reco_leading_ph_start_point_y,reco_leading_ph_start_point_z,reco_leading_ph_energy,reco_subleading_ph_start_point_x,reco_subleading_ph_start_point_y,reco_subleading_ph_start_point_z,reco_subleading_ph_energy,opening_angle_s2v,mass_s2v,opening_angle_cw,mass_cw
13,5019,0,29,5,-141.54001,-108.96,-802.551,-112.140015,-117.21,-787.401,122.16749995587821,-149.04001,-69.81,-800.60095,31.76477730992329,112.19659,103.40858187363452,115.36757,105.29173931044224
4,5361,0,17,0,-178.14,-61.71,-788.151,-243.24,-76.409996,-797.001,103.49138558629048,-172.14,-72.509995,-800.30096,43.35214086325772,96.117165,99.64608686522848,116.29814,113.79204341120133
5,5438,0,11,29,-106.84,15.690008,-644.901,-108.54001,16.890015,-647.901,84.04780008706703,-92.34,26.490005,-641.001,56.5621985010354,110.26547,113.14193972435407,69.09582,78.20099385416616
5,5664,0,15,2,-164.94,16.390015,-631.80096,-161.34001,22.890015,-627.80096,362.61787874152867,-146.94,59.490005,-636.80096,89.05115702066078,34.93988,107.89291283848429,37.06369,114.2277480914658
0,6243,0,1,4,-191.49,-93.06,318.24908,-188.34001,-90.21,345.3991,305.1649162568242,-191.64,-94.409996,321.3991,107.37060179193337,30.525467,95.3018165560584,41.56158,128.44455238894864
10,6873,0,21,1,-106.14,84.54001,-331.40094,-99.54001,79.59001,-324.80096,148.42356486492847,-98.04001,78.69002,-336.50098,75.38958629929877,65.708046,114.77235897953015,47.617653,85.40455976013405
7,7299,0,20,6,-186.54001,-3.05999,129.99908,-186.54001,-1.4099884,134.79901,426.4093238187124,-214.44,33.990005,190.59906,217.0172633894955,24.658457,129.9112967271273,26.374615,138.79786892795005
11,7299,0,24,2,-170.04001,40.740013,-114.20093,-170.64,41.490005,-116.300964,134.72982199795277,-145.73999,52.29001,-120.50098,43.82579757506589,83.41931,102.25415420054215,21.22516,28.30342488639879
10,7320,0,19,14,-250.54001,37.29001,-628.90094,-251.94,34.890015,-620.30096,237.7439016319183,-290.64,57.990005,-585.501,70.41425590055535,47.85408,104.95039706096983,50.339386,110.05531566334525
10,7812,0,23,35,-245.34003,39.59001,233.39905,-248.04001,45.990005,252.69904,274.77707460702186,-245.64001,41.79001,261.3991,177.85837564123685,15.460377,59.471171591331185,36.485092,138.40685763706037
15,7900,0,30,7,-173.04001,-154.26,123.09906,-203.64,-71.009995,129.99908,162.97541239175453,-185.94,-146.91,138.99908,86.3997034279697,54.77278,109.16779627397635,51.33168,102.79150392453664
3,8152,0,10,25,-236.94,63.840004,381.47406,-227.64001,77.490005,399.99908,376.98890042592245,-232.44,86.19002,368.799,20.033884622964518,80.02688,111.75468992013224,112.58782,144.59239819891607
13,8282,0,23,14,-152.64001,59.190002,-86.300964,-155.04001,56.190002,-73.40094,441.32793380553466,-164.34001,38.79001,-56.90094,215.22599185805726,22.391281,119.67879891379756,26.047867,138.90924960004892
15,8608,0,22,1,-234.09,-23.309998,-533.30096,-234.24,-23.61,-533.001,279.3747499764684,-237.24,-28.11,-523.701,266.3545171898532,17.807232,84.43996941770384,23.46907,110.95745713555344
2,8639,0,7,5,-108.84,46.890015,-281.60095,-108.23999,26.490005,-241.70099,209.2252064900226,-110.04001,21.090012,-226.40094,190.48893940017885,2.7761505,9.672078048352839,32.579174,111.99349835317712
0,8650,0,1,26,-271.44,-101.46,-37.700928,-262.74,-108.21,-27.200928,221.05562141142698,-275.04,-90.21,-19.40094,30.144992506647686,75.15764,99.56643821332663,125.0561,144.85314439309772
8,8685,0,15,4,-297.09003,-13.55999,681.3991,-301.74002,-23.009995,685.8991,282.743412615305,-287.04,-28.11,690.3991,63.204854942229865,54.71707,122.86863510027202,47.21642,107.07366499114201
12,8863,0,21,1,-145.21501,-8.7599945,-703.17596,-153.23999,-14.610001,-694.10095,292.8046536732869,-183.24,-16.409988,-696.501,76.78597691547441,39.170414,100.52516424043529,127.25847,268.6817369305464
